season,player_name,squad_no
2024/25,Luke McGee,1
2024/25,Cameron Norman,2
2024/25,Zak Bradshaw,3
2024/25,Brad Walker,4
2024/25,Tom Davies,5
2024/25,Jordan Turnbull,6
2024/25,Kieron Morris,7
2024/25,Regan Hendry,8
2024/25,Luke Norris,9
2024/25,Josh Davison,10
2024/25,Josh Hawkes,11
2024/25,Joe Murphy,13
2024/25,Kristian Dennis,14
2024/25,Jake Garrett,15
2024/25,Chris Merrie,16
2024/25,Sam Finley,17
2024/25,Connor Jennings,18
2024/25,Harvey Saunders,19
2024/25,Samuel Taylor,20
2024/25,Sol Solomon,21
2024/25,Lee O'Connor,22
2024/25,Connor Wood,23
2024/25,Josh Williams,24
2024/25,Reuben Egan,25
2024/25,Saidou Khan,28
2024/25,Omari Patrick,30
2024/25,Declan Drysdale,35
2025/26,Luke McGee,1
2025/26,Cameron Norman,2
2025/26,Patrick Brough,3
2025/26,Jordan Turnbull,4
2025/26,Nathan Smith,5
2025/26,Richie Smallwood,6
2025/26,Charlie Whitaker,7
2025/26,Sam Finley,8
2025/26,Kristian Dennis,9
2025/26,Josh Davison,10
2025/26,Omari Patrick,11
2025/26,Jack Barrett,12
2025/26,Joe Murphy,13
2025/26,Jayden Joseph,14
2025/26,Jason Lowe,16
2025/26,Sol Solomon,17
2025/26,Connor Jennings,18
2025/26,Harvey Saunders,19
2025/26,Samuel Taylor,20
2025/26,Josh Williams,21
2025/26,Lee O'Connor,22
2025/26,Ethan Bristow,23
2025/26,Billy Blacker,24
2025/26,Taylan Harris,25
2025/26,Joe Ironside,29
2025/26,Aaron McGowan,30
2025/26,Nohan Kenneh,42
